  8.4400000000000000e+02  0.0000000000000000e+00
  8.4355798716793288e+02  1.4065076374566198e+01
  8.4223369309444308e+02  2.8074644318404157e+01
  8.4003234416322630e+02  4.1973414467202325e+01
  8.3696262809281336e+02  5.5706534724927479e+01
  8.3303665965011442e+02  6.9219806739988229e+01
  8.2826993283896832e+02  8.2459899801367882e+01
  8.2268125975238843e+02  9.5374561310576297e+01
  8.1629269632982550e+02  1.0791282299878425e+02
  8.0912945531245146e+02  1.2002520207529527e+02
  8.0121980673998826e+02  1.3166389651351400e+02
  7.9259496638177677e+02  1.4278297370370652e+02
  7.8328897254239621e+02  1.5333855172802629e+02
  7.7333855172802623e+02  1.6328897254239621e+02
  7.6278297370370649e+02  1.7259496638177683e+02
  7.5166389651351392e+02  1.8121980673998826e+02
  7.4002520207529528e+02  1.8912945531245140e+02
  7.2791282299878424e+02  1.9629269632982550e+02
  7.1537456131057627e+02  2.0268125975238840e+02
  7.0245989980136790e+02  2.0826993283896834e+02
  6.8921980673998826e+02  2.1303665965011442e+02
  6.7570653472492745e+02  2.1696262809281339e+02
  6.6197341446720225e+02  2.2003234416322630e+02
  6.4807464431840413e+02  2.2223369309444308e+02
  6.3406507637456616e+02  2.2355798716793285e+02
  6.2000000000000000e+02  2.2400000000000003e+02
  6.0593492362543384e+02  2.2355798716793285e+02
  5.9192535568159587e+02  2.2223369309444305e+02
  5.7802658553279764e+02  2.2003234416322627e+02
  5.6429346527507255e+02  2.1696262809281339e+02
  5.5078019326001174e+02  2.1303665965011442e+02
  5.3754010019863210e+02  2.0826993283896832e+02
  5.2462543868942373e+02  2.0268125975238840e+02
  5.1208717700121576e+02  1.9629269632982545e+02
  4.9997479792470472e+02  1.8912945531245137e+02
  4.8833610348648602e+02  1.8121980673998826e+02
  4.7721702629629351e+02  1.7259496638177683e+02
  4.6666144827197371e+02  1.6328897254239618e+02
  4.5671102745760379e+02  1.5333855172802623e+02
  4.4740503361822317e+02  1.4278297370370646e+02
  4.3878019326001174e+02  1.3166389651351403e+02
  4.3087054468754860e+02  1.2002520207529527e+02
  4.2370730367017450e+02  1.0791282299878422e+02
  4.1731874024761157e+02  9.5374561310576254e+01
  4.1173006716103168e+02  8.2459899801367825e+01
  4.0696334034988558e+02  6.9219806739988158e+01
  4.0303737190718664e+02  5.5706534724927486e+01
  3.9996765583677370e+02  4.1973414467202311e+01
  3.9776630690555692e+02  2.8074644318404122e+01
  3.9644201283206712e+02  1.4065076374566145e+01
  3.9600000000000000e+02 -7.2043894705513328e-14
  3.9644201283206712e+02 -1.4065076374566191e+01
  3.9776630690555692e+02 -2.8074644318404165e+01
  3.9996765583677370e+02 -4.1973414467202353e+01
  4.0303737190718664e+02 -5.5706534724927529e+01
  4.0696334034988558e+02 -6.9219806739988300e+01
  4.1173006716103168e+02 -8.2459899801367953e+01
  4.1731874024761157e+02 -9.5374561310576283e+01
  4.2370730367017455e+02 -1.0791282299878426e+02
  4.3087054468754866e+02 -1.2002520207529530e+02
  4.3878019326001180e+02 -1.3166389651351406e+02
  4.4740503361822323e+02 -1.4278297370370657e+02
  4.5671102745760379e+02 -1.5333855172802629e+02
  4.6666144827197377e+02 -1.6328897254239621e+02
  4.7721702629629351e+02 -1.7259496638177683e+02
  4.8833610348648597e+02 -1.8121980673998823e+02
  4.9997479792470483e+02 -1.8912945531245146e+02
  5.1208717700121576e+02 -1.9629269632982547e+02
  5.2462543868942385e+02 -2.0268125975238846e+02
  5.3754010019863222e+02 -2.0826993283896834e+02
  5.5078019326001174e+02 -2.1303665965011442e+02
  5.6429346527507255e+02 -2.1696262809281342e+02
  5.7802658553279764e+02 -2.2003234416322630e+02
  5.9192535568159599e+02 -2.2223369309444308e+02
  6.0593492362543384e+02 -2.2355798716793285e+02
  6.2000000000000000e+02 -2.2400000000000003e+02
  6.3406507637456627e+02 -2.2355798716793285e+02
  6.4807464431840413e+02 -2.2223369309444308e+02
  6.6197341446720247e+02 -2.2003234416322627e+02
  6.7570653472492756e+02 -2.1696262809281339e+02
  6.8921980673998814e+02 -2.1303665965011444e+02
  7.0245989980136790e+02 -2.0826993283896832e+02
  7.1537456131057627e+02 -2.0268125975238840e+02
  7.2791282299878435e+02 -1.9629269632982542e+02
  7.4002520207529528e+02 -1.8912945531245137e+02
  7.5166389651351415e+02 -1.8121980673998814e+02
  7.6278297370370660e+02 -1.7259496638177677e+02
  7.7333855172802623e+02 -1.6328897254239621e+02
  7.8328897254239632e+02 -1.5333855172802620e+02
  7.9259496638177689e+02 -1.4278297370370649e+02
  8.0121980673998837e+02 -1.3166389651351386e+02
  8.0912945531245146e+02 -1.2002520207529520e+02
  8.1629269632982550e+02 -1.0791282299878425e+02
  8.2268125975238843e+02 -9.5374561310576183e+01
  8.2826993283896832e+02 -8.2459899801367854e+01
  8.3303665965011442e+02 -6.9219806739988087e+01
  8.3696262809281347e+02 -5.5706534724927415e+01
  8.4003234416322630e+02 -4.1973414467202332e+01
  8.4223369309444308e+02 -2.8074644318404051e+01
  8.4355798716793288e+02 -1.4065076374566173e+01
